index,text,url,type
256,QuantUniversity - https://www.youtube.com/channel/UCRlFeeFaSk7JiCSBYcFffGQ/videos  ,https://www.youtube.com/channel/UCRlFeeFaSk7JiCSBYcFffGQ/videos,channel
257,Daytum - https://www.youtube.com/channel/UCzXrjXfB1eSUNuw1O_GtFyQ/videos ,https://www.youtube.com/channel/UCzXrjXfB1eSUNuw1O_GtFyQ/videos,channel
258,London Business Analytics - https://www.youtube.com/c/LondonBusinessAnalyticsGroup/videos ,https://www.youtube.com/c/LondonBusinessAnalyticsGroup/videos,custom
259,Data Vault - https://youtube.com/channel/UCdhSsZWTwkX1-v8EX84WLYg,https://youtube.com/channel/UCdhSsZWTwkX1-v8EX84WLYg,channel
260,BigNumber - https://youtube.com/c/BigNumber,https://youtube.com/c/BigNumber,custom
261,DataTalks.Club - https://youtube.com/channel/UCDvErgK0j5ur3aLgn6U-LqQ,https://youtube.com/channel/UCDvErgK0j5ur3aLgn6U-LqQ,channel
262,Locally Optimistic - https://youtube.com/channel/UC13e1OgG_dOE3BI481swWPg,https://youtube.com/channel/UC13e1OgG_dOE3BI481swWPg,channel
263,Data Natives - https://www.youtube.com/channel/UC8x0-23MLoRgs5ee4uias4w/videos ,https://www.youtube.com/channel/UC8x0-23MLoRgs5ee4uias4w/videos,channel
264,GeoStatsGuy - https://youtube.com/c/GeostatsGuyLectures,https://youtube.com/c/GeostatsGuyLectures,custom
265,Steve Brunton - https://youtube.com/c/Eigensteve,https://youtube.com/c/Eigensteve,custom
266,BlazingSQL - https://www.youtube.com/channel/UCjxMdJuZ6d-c-X6xiWpN1eg/videos,https://www.youtube.com/channel/UCjxMdJuZ6d-c-X6xiWpN1eg/videos,channel
267,Ben Lambert - https://youtube.com/user/SpartacanUsuals,https://youtube.com/user/SpartacanUsuals,user
268,Brady Neal Causal Inference - https://www.youtube.com/c/BradyNealCausalInference/videos ,https://www.youtube.com/c/BradyNealCausalInference/videos,custom
269,Xanadu - https://youtube.com/c/XanaduAI,https://youtube.com/c/XanaduAI,custom
270,BigML - https://www.youtube.com/user/bigmlcom/videos ,https://www.youtube.com/user/bigmlcom/videos,user
271,DataCouncil - https://www.youtube.com/c/DataCouncil/videos ,https://www.youtube.com/c/DataCouncil/videos,custom
272,TFUG India - https://www.youtube.com/c/TFUGIndia/videos ,https://www.youtube.com/c/TFUGIndia/videos,custom
273,Online Causal Inference - https://youtube.com/channel/UCiiOj5GSES6uw21kfXnxj3A,https://youtube.com/channel/UCiiOj5GSES6uw21kfXnxj3A,channel
275,Jean Golding Institute (Bristol) - https://www.youtube.com/channel/UCNYDS8tsCxZT0dYShMASPMg/videos,https://www.youtube.com/channel/UCNYDS8tsCxZT0dYShMASPMg/videos,channel
276,Graph Neural Networks UG - https://youtube.com/channel/UCnmuSDY1pTlaFH1WRQElfTg,https://youtube.com/channel/UCnmuSDY1pTlaFH1WRQElfTg,channel
277,ClarifyAI - https://youtube.com/channel/UCGmfV4cQHwk6qCnLEYfgzIA,https://youtube.com/channel/UCGmfV4cQHwk6qCnLEYfgzIA,channel
278,Data Talks - https://youtube.com/c/DataTalks,https://youtube.com/c/DataTalks,custom
279,Inference Podcast - https://www.youtube.com/channel/UCU-KsNFmnZ_v3RZ7MKvCzDg/featured,https://www.youtube.com/channel/UCU-KsNFmnZ_v3RZ7MKvCzDg/featured,channel
280,BigNumber - https://www.youtube.com/c/BigNumber/videos,https://www.youtube.com/c/BigNumber/videos,custom
281,San Diego ML (Ryan Chester) - https://youtube.com/c/ITConnected,https://youtube.com/c/ITConnected,custom
282,Full Stack Deep learning - https://youtube.com/c/FullStackDeepLearning,https://youtube.com/c/FullStackDeepLearning,custom
283,Are you a robot - https://youtube.com/channel/UCzGSxIDNn8y856c6b2DkOOg,https://youtube.com/channel/UCzGSxIDNn8y856c6b2DkOOg,channel
284,Data Science Festival - https://www.youtube.com/c/DataScienceFestival/videos ,https://www.youtube.com/c/DataScienceFestival/videos,custom
285,ACM IKDD - https://youtube.com/channel/UCKSVa5Qf5xt1uFVsAPLAlcQ,https://youtube.com/channel/UCKSVa5Qf5xt1uFVsAPLAlcQ,channel
286,John Snow Labs - https://www.youtube.com/channel/UCmFOjlpYEhxf_wJUDuz6xxQ ,https://www.youtube.com/channel/UCmFOjlpYEhxf_wJUDuz6xxQ,channel
287,AI Guild - https://youtube.com/channel/UCTOUs2QL5qEnh_Y10Y4lhEw,https://youtube.com/channel/UCTOUs2QL5qEnh_Y10Y4lhEw,channel
288,PRAIRIE - https://www.youtube.com/channel/UCckAS10l0cnVW9s9_ZWv8NQ/videos ,https://www.youtube.com/channel/UCckAS10l0cnVW9s9_ZWv8NQ/videos,channel
289,AI Pathshala (Data Science Nasscom)- https://www.youtube.com/channel/UCrzoexW3ynjSHsyLN6nRIPw/videos,https://www.youtube.com/channel/UCrzoexW3ynjSHsyLN6nRIPw/videos,channel
290,Artificial Images - https://www.youtube.com/user/bustbright/videos ,https://www.youtube.com/user/bustbright/videos,user
291,Stylianos Kampakis - https://youtube.com/channel/UClyTBR1b0ZEcZgWEhFf2POg,https://youtube.com/channel/UClyTBR1b0ZEcZgWEhFf2POg,channel
292,Seattle data guy - https://youtube.com/channel/UCmLGJ3VYBcfRaWbP6JLJcpA ,https://youtube.com/channel/UCmLGJ3VYBcfRaWbP6JLJcpA,channel
